Airport_ID_start,Airport_ID_end,Route_ID
CGO,CTU,CGO-CTU
CGO,HGH,CGO-HGH
CGO,HRB,CGO-HRB
CGO,KMG,CGO-KMG
CGO,URC,CGO-URC
CGQ,CGO,CGQ-CGO
CGQ,NKG,CGQ-NKG
CGQ,TNA,CGQ-TNA
CGQ,TSN,CGQ-TSN
CKG,CAN,CKG-CAN
CKG,CGO,CKG-CGO
CKG,CSX,CKG-CSX
CKG,CTU,CKG-CTU
CKG,CZX,CKG-CZX
CKG,DLC,CKG-DLC
CKG,DYG,CKG-DYG
CKG,HAK,CKG-HAK
CKG,HGH,CKG-HGH
CKG,HKT,CKG-HKT
CKG,KHN,CKG-KHN
CKG,KMG,CKG-KMG
CKG,LHW,CKG-LHW
CKG,LJG,CKG-LJG
CKG,LXA,CKG-LXA
CKG,NGB,CKG-NGB
CKG,NKG,CKG-NKG
CKG,NNG,CKG-NNG
CKG,PEK,CKG-PEK
CKG,PVG,CKG-PVG
CKG,PZI,CKG-PZI
CKG,SWA,CKG-SWA
CKG,SYD,CKG-SYD
CKG,SYX,CKG-SYX
CKG,SZX,CKG-SZX
CKG,TNA,CKG-TNA
CKG,TSA,CKG-TSA
CKG,TSN,CKG-TSN
CKG,TYN,CKG-TYN
CKG,URC,CKG-URC
CKG,WUH,CKG-WUH
CKG,WUX,CKG-WUX
CKG,XIY,CKG-XIY
CKG,XNN,CKG-XNN
CKG,YIH,CKG-YIH
CKG,ZHA,CKG-ZHA
CSX,CKG,CSX-CKG
CSX,CTU,CSX-CTU
CSX,FOC,CSX-FOC
CSX,KMG,CSX-KMG
CSX,SHE,CSX-SHE
CSX,WNZ,CSX-WNZ
CSX,XMN,CSX-XMN
CTU,CAN,CTU-CAN
CTU,CGO,CTU-CGO
CTU,CKG,CTU-CKG
CTU,CSX,CTU-CSX
CTU,DCY,CTU-DCY
CTU,DSN,CTU-DSN
CTU,HAK,CTU-HAK
CTU,HDG,CTU-HDG
CTU,HET,CTU-HET
CTU,HFE,CTU-HFE
CTU,HGH,CTU-HGH
CTU,HKT,CTU-HKT
CTU,JHG,CTU-JHG
CTU,JIQ,CTU-JIQ
CTU,JZH,CTU-JZH
CTU,KHN,CTU-KHN
CTU,KMG,CTU-KMG
CTU,KOW,CTU-KOW
CTU,KWE,CTU-KWE
CTU,LHW,CTU-LHW
CTU,LJG,CTU-LJG
CTU,LUM,CTU-LUM
CTU,LXA,CTU-LXA
CTU,LZY,CTU-LZY
CTU,MEL,CTU-MEL
CTU,NKG,CTU-NKG
CTU,NNG,CTU-NNG
CTU,PEK,CTU-PEK
CTU,PVG,CTU-PVG
CTU,PZI,CTU-PZI
CTU,SHE,CTU-SHE
CTU,SJW,CTU-SJW
