Airport_ID,Name,Country_ID,geom
SVZ,San Antonio Del Tachira Airport,Venezuela,01010000C000000000241C52C000000080025D1F4000000000008094400000000000000000
SBB,Santa Bárbara de Barinas Airport,Venezuela,01010000C0000000209BCA51C000000060CC361F4000000000007082400000000000000000
SNV,Santa Elena de Uairen Airport,Venezuela,01010000C00000004033934EC0000000E0513812400000000000F4A6400000000000000000
STD,Mayor Buenaventura Vivas International Airport,Venezuela,01010000C0753FA7203F0252C0FB3F87F9F2421E400000000000EC90400000000000000000
SNF,Sub Teniente Nestor Arias Airport,Venezuela,01010000C0D4B5F63E553051C058CA32C4B18E24400000000000C887400000000000000000
SFD,San Fernando De Apure Airport,Venezuela,01010000C0000000806ADC50C00000000085881F4000000000004063400000000000000000
SOM,San Tomé Airport,Venezuela,01010000C0E8FFFF5FAB0950C0E6FFFF3FEAE321400000000000E88A400000000000000000
STB,Santa Bárbara del Zulia Airport,Venezuela,01010000C0000000405EFC51C000000040F8F2214000000000000040400000000000000000
TUV,Tucupita Airport,Venezuela,01010000C0FFFFFFDF0D0C4FC0000000A0902D224000000000000030400000000000000000
TMO,Tumeremo Airport,Venezuela,01010000C0C8EF6DFAB3C34EC01E1B81785DFF1C4000000000009075400000000000000000
VLN,Arturo Michelena International Airport,Venezuela,01010000C0000000E06AFB50C0000000C0A94C244000000000000C96400000000000000000
VLV,Dr. Antonio Nicolás Briceño Airport,Venezuela,01010000C00000004061A551C00000002053AE2240000000000018A0400000000000000000
VDP,Valle de La Pascua Airport,Venezuela,01010000C0370000E0967F50C0EC0900A0AD7122400000000000A079400000000000000000
LTM,Lethem Airport,Guyana,01010000C08FC360FE0AE54DC0410E4A9869FB0A400000000000F075400000000000000000
BQN,Rafael Hernandez Airport,Puerto Rico,01010000C00000002048C850C0000000C0B17E32400000000000A06D400000000000000000
FAJ,Diego Jimenez Torres Airport,Puerto Rico,01010000C0000000A05C6A50C000000020144F324000000000000050400000000000000000
SIG,Fernando Luis Ribas Dominicci Airport,Puerto Rico,01010000C000000040478650C0000000E0F074324000000000000024400000000000000000
MAZ,Eugenio Maria De Hostos Airport,Puerto Rico,01010000C00000000081C950C000000080754132400000000000003C400000000000000000
PSE,Mercedita Airport,Puerto Rico,01010000C00000004008A450C000000000200232400000000000003D400000000000000000
SJU,Luis Munoz Marin International Airport,Puerto Rico,01010000C06CFDFF7F1D8050C0E9D5FF7F7C70324000000000000022400000000000000000
TAB,Tobago-Crown Point Airport,Trinidad and Tobago,01010000C000000080856A4EC000000080A54C264000000000000043400000000000000000
POS,Piarco International Airport,Trinidad and Tobago,01010000C00000006029AB4EC001000040D83025400000000000004D400000000000000000
ALA,Almaty Airport,Kazakhstan,01010000C00000008097425340000000A011AD4540000000000074A1400000000000000000
BXH,Balkhash Airport,Kazakhstan,01010000C0000000E051C05240000000A05772474000000000009896400000000000000000
TSE,Astana International Airport,Kazakhstan,01010000C0000000C0E1DD514000000080D782494000000000003492400000000000000000
DMB,Taraz Airport,Kazakhstan,01010000C0000000206ED35140FFFFFFBF426D4540000000000010A1400000000000000000
FRU,Manas International Airport,Kyrgyzstan,01010000C0070C0000919E5240431500A0D8874540000000000014A0400000000000000000
OSS,Osh Airport,Kyrgyzstan,01010000C0AA090060C53252409C1100C0F34D44400000000000DEA6400000000000000000
CIT,Shymkent Airport,Kazakhstan,01010000C000000040A65E5140000000209E2E45400000000000A495400000000000000000
URA,Uralsk Airport,Kazakhstan,01010000C00000004084C54940000000604D9349400000000000405F400000000000000000
PWQ,Pavlodar Airport,Kazakhstan,01010000C0000000C0BA445340000000C0F5184A400000000000A079400000000000000000
PLX,Semipalatinsk Airport,Kazakhstan,01010000C0DC0F7860000F5440C91F0C3CF72C49400000000000C887400000000000000000
AKX,Aktobe Airport,Kazakhstan,01010000C0D68EE21C759A4C40ACADD85F761F494000000000001087400000000000000000
GYD,Heydar Aliyev International Airport,Azerbaijan,01010000C000000040FA05494001000000D73B444000000000000024400000000000000000
KBP,Boryspil International Airport,Ukraine,01010000C0000000000BE53E4000000000292C49400000000000B07A400000000000000000
DOK,Donetsk International Airport,Ukraine,01010000C000000080AEDE4240000000C06B0948400000000000B888400000000000000000
DNK,Dnipropetrovsk International Airport,Ukraine,01010000C000000080E08C4140000000C0B82D48400000000000107E400000000000000000
SIP,Simferopol International Airport,Ukraine,01010000C000000020D0FC404000000080AE8646400000000000F883400000000000000000
IEV,Kiev Zhuliany International Airport,Ukraine,01010000C016C1FF56B2733E40257A19C57233494000000000005882400000000000000000
LWO,Lviv International Airport,Ukraine,01010000C000000000C3F437400000000000E848400000000000BC90400000000000000000
ODS,Odessa International Airport,Ukraine,01010000C0000000202FAD3E4000000060A136474000000000008065400000000000000000
GME,Gomel Airport,Belarus,01010000C0FFFFFF7F46043F40000000C074434A400000000000807D400000000000000000
VTB,Vitebsk Vostochny Airport,Belarus,01010000C02E0000607F593E40C9FFFF1F31904B4000000000005085400000000000000000
MHP,Minsk 1 Airport,Belarus,01010000C0000000C0298A3B40FFFFFFDFA7EE4A4000000000006087400000000000000000
MSQ,Minsk National Airport,Belarus,01010000C046000000DC073C40E1FFFFBFF5F04A400000000000F084400000000000000000
ASB,Ashgabat International Airport,Turkmenistan,01010000C091ED7C3F352E4D407E54C37E4FFE42400000000000A085400000000000000000
KRW,Turkmenbashi Airport,Turkmenistan,01010000C05E4C33DDEB804A40ED66463F1A08444000000000007071400000000000000000
CRZ,Turkmenabat Airport,Turkmenistan,01010000C0000000A080CE4F40000000A0A98A43400000000000B083400000000000000000
DYU,Dushanbe Airport,Tajikistan,01010000C067F4FFBFCC345140D51400E08A45434000000000001EA4400000000000000000
BHK,Bukhara Airport,Uzbekistan,01010000C000000060EE1E50400000004033E3434000000000007887400000000000000000
SKD,Samarkand Airport,Uzbekistan,01010000C0000000A0F6BE504000000000AAD94340000000000060A1400000000000000000
TAS,Tashkent International Airport,Uzbekistan,01010000C07AF5FF1FFF51514099EBFFDF02A1444000000000002496400000000000000000
AMD,Sardar Vallabhbhai Patel International Airport,India,01010000C078F2FFDF9E2852409DF1FF5FC31337400000000000A067400000000000000000
AKD,Akola Airport,India,01010000C0D3A0681EC0435340CCEF3499F1B234400000000000388F400000000000000000
IXU,Aurangabad Airport,India,01010000C0000000807AD95240000000E0D9DC33400000000000DC9D400000000000000000
BOM,Chhatrapati Shivaji International Airport,India,01010000C05D0200A08B375240ABE9FFFFB416334000000000008043400000000000000000
PAB,Bilaspur Airport,India,01010000C0C976BE9F1A875440CC5D4BC807FD35400000000000188C400000000000000000
