Route_ID,Airport_ID_start,Airport_ID_end,geom
ZAM-MNL,ZAM,MNL,01020000000200000001000000D7835E40000000E08EB01B4029417FA147415E40BF7D1D3867042D40
AUX-PMW,AUX,PMW,010200000002000000E1D39CBCC81E48C045F5D6C056E91CC010FEFF1FB22D48C0F06700803F9524C0
BRA-BSB,BRA,BSB,010200000002000000000000E0268146C0000000A0652828C0FFFFFFDFDDF547C00000008003BD2FC0
BRA-SSA,BRA,SSA,010200000002000000000000E0268146C0000000A0652828C0BFEDFF9F472943C0AEEFFF7F35D129C0
BSB-BRA,BSB,BRA,010200000002000000FFFFFFDFDDF547C00000008003BD2FC0000000E0268146C0000000A0652828C0
BSB-OPS,BSB,OPS,010200000002000000FFFFFFDFDDF547C00000008003BD2FC0000000A005CB4BC0000000C01EC527C0
BSB-RAO,BSB,RAO,010200000002000000FFFFFFDFDDF547C00000008003BD2FC0000000E069E347C000000060EA2235C0
CAC-GRU,CAC,GRU,010200000002000000D4F1FF3F1AC04AC021D9FF9F130039C0000000208D3C47C0000000A0806F37C0
CGB-GYN,CGB,GYN,0102000000020000007D1B0000F00E4CC0CEC5FFDF484E2FC0000000E03F9C48C0000000C0CAA130C0
CGB-OPS,CGB,OPS,0102000000020000007D1B0000F00E4CC0CEC5FFDF484E2FC0000000A005CB4BC0000000C01EC527C0
CGR-DOU,CGR,DOU,010200000002000000A11A008014564BC0EAD8FFBFFC7734C06FB88FDC9A764BC0F90FE9B7AF3336C0
DOU-CGR,DOU,CGR,0102000000020000006FB88FDC9A764BC0F90FE9B7AF3336C0A11A008014564BC0EAD8FFBFFC7734C0
DOU-GRU,DOU,GRU,0102000000020000006FB88FDC9A764BC0F90FE9B7AF3336C0000000208D3C47C0000000A0806F37C0
GIG-RAO,GIG,RAO,01020000000200000092FFFF3F12A045C066D1FF1F5CCF36C0000000E069E347C000000060EA2235C0
GRU-CAC,GRU,CAC,010200000002000000000000208D3C47C0000000A0806F37C0D4F1FF3F1AC04AC021D9FF9F130039C0
GRU-DOU,GRU,DOU,010200000002000000000000208D3C47C0000000A0806F37C06FB88FDC9A764BC0F90FE9B7AF3336C0
GRU-RAO,GRU,RAO,010200000002000000000000208D3C47C0000000A0806F37C0000000E069E347C000000060EA2235C0
GRU-UBA,GRU,UBA,010200000002000000000000208D3C47C0000000A0806F37C0E6FFFF7FA9FB47C05A0000E0C4C333C0
GRU-UDI,GRU,UDI,010200000002000000000000208D3C47C0000000A0806F37C03FC571E0D51C48C0685A626534E232C0
GRU-VDC,GRU,VDC,010200000002000000000000208D3C47C0000000A0806F37C0D2EEFFFF796E44C0804100E0C0B92DC0
GYN-CGB,GYN,CGB,010200000002000000000000E03F9C48C0000000C0CAA130C07D1B0000F00E4CC0CEC5FFDF484E2FC0
GYN-PMW,GYN,PMW,010200000002000000000000E03F9C48C0000000C0CAA130C010FEFF1FB22D48C0F06700803F9524C0
GYN-RAO,GYN,RAO,010200000002000000000000E03F9C48C0000000C0CAA130C0000000E069E347C000000060EA2235C0
GYN-UDI,GYN,UDI,010200000002000000000000E03F9C48C0000000C0CAA130C03FC571E0D51C48C0685A626534E232C0
OPS-BSB,OPS,BSB,010200000002000000000000A005CB4BC0000000C01EC527C0FFFFFFDFDDF547C00000008003BD2FC0
OPS-CGB,OPS,CGB,010200000002000000000000A005CB4BC0000000C01EC527C07D1B0000F00E4CC0CEC5FFDF484E2FC0
PLU-RAO,PLU,RAO,01020000000200000001000040ADF945C001000040E8D933C0000000E069E347C000000060EA2235C0
PMW-AUX,PMW,AUX,01020000000200000010FEFF1FB22D48C0F06700803F9524C0E1D39CBCC81E48C045F5D6C056E91CC0
PMW-GYN,PMW,GYN,01020000000200000010FEFF1FB22D48C0F06700803F9524C0000000E03F9C48C0000000C0CAA130C0
RAO-BSB,RAO,BSB,010200000002000000000000E069E347C000000060EA2235C0FFFFFFDFDDF547C00000008003BD2FC0
RAO-GIG,RAO,GIG,010200000002000000000000E069E347C000000060EA2235C092FFFF3F12A045C066D1FF1F5CCF36C0
RAO-GRU,RAO,GRU,010200000002000000000000E069E347C000000060EA2235C0000000208D3C47C0000000A0806F37C0
RAO-GYN,RAO,GYN,010200000002000000000000E069E347C000000060EA2235C0000000E03F9C48C0000000C0CAA130C0
RAO-PLU,RAO,PLU,010200000002000000000000E069E347C000000060EA2235C001000040ADF945C001000040E8D933C0
RAO-SJP,RAO,SJP,010200000002000000000000E069E347C000000060EA2235C043F5FF3F08B448C0612B00C00CD134C0
RAO-UDI,RAO,UDI,010200000002000000000000E069E347C000000060EA2235C03FC571E0D51C48C0685A626534E232C0
SJP-RAO,SJP,RAO,01020000000200000043F5FF3F08B448C0612B00C00CD134C0000000E069E347C000000060EA2235C0
SSA-BRA,SSA,BRA,010200000002000000BFEDFF9F472943C0AEEFFF7F35D129C0000000E0268146C0000000A0652828C0
SSA-VDC,SSA,VDC,010200000002000000BFEDFF9F472943C0AEEFFF7F35D129C0D2EEFFFF796E44C0804100E0C0B92DC0
UBA-GRU,UBA,GRU,010200000002000000E6FFFF7FA9FB47C05A0000E0C4C333C0000000208D3C47C0000000A0806F37C0
UBA-UDI,UBA,UDI,010200000002000000E6FFFF7FA9FB47C05A0000E0C4C333C03FC571E0D51C48C0685A626534E232C0
UDI-GRU,UDI,GRU,0102000000020000003FC571E0D51C48C0685A626534E232C0000000208D3C47C0000000A0806F37C0
UDI-GYN,UDI,GYN,0102000000020000003FC571E0D51C48C0685A626534E232C0000000E03F9C48C0000000C0CAA130C0
UDI-RAO,UDI,RAO,0102000000020000003FC571E0D51C48C0685A626534E232C0000000E069E347C000000060EA2235C0
UDI-UBA,UDI,UBA,0102000000020000003FC571E0D51C48C0685A626534E232C0E6FFFF7FA9FB47C05A0000E0C4C333C0
VDC-GRU,VDC,GRU,010200000002000000D2EEFFFF796E44C0804100E0C0B92DC0000000208D3C47C0000000A0806F37C0
VDC-SSA,VDC,SSA,010200000002000000D2EEFFFF796E44C0804100E0C0B92DC0BFEDFF9F472943C0AEEFFF7F35D129C0
BRL-ORD,BRL,ORD,0102000000020000000000004008C856C0000000E03F644440EE5A423EE8F955C0CCEEC9C342FD4440
BRL-STL,BRL,STL,0102000000020000000000004008C856C0000000E03F644440001B1021AE9756C081CEA44DD55F4340
DEC-ORD,DEC,ORD,010200000002000000000000A0673756C000000020D4EA4340EE5A423EE8F955C0CCEEC9C342FD4440
DEC-STL,DEC,STL,010200000002000000000000A0673756C000000020D4EA4340001B1021AE9756C081CEA44DD55F4340
JBR-STL,JBR,STL,010200000002000000000000A05EA956C00000002075EA4140001B1021AE9756C081CEA44DD55F4340
ORD-BRL,ORD,BRL,010200000002000000EE5A423EE8F955C0CCEEC9C342FD44400000004008C856C0000000E03F644440
ORD-DEC,ORD,DEC,010200000002000000EE5A423EE8F955C0CCEEC9C342FD4440000000A0673756C000000020D4EA4340
STL-BRL,STL,BRL,010200000002000000001B1021AE9756C081CEA44DD55F43400000004008C856C0000000E03F644440
STL-DEC,STL,DEC,010200000002000000001B1021AE9756C081CEA44DD55F4340000000A0673756C000000020D4EA4340
STL-JBR,STL,JBR,010200000002000000001B1021AE9756C081CEA44DD55F4340000000A05EA956C00000002075EA4140
KTN-MTM,KTN,MTM,0102000000020000004C16F71FD97660C010A1004084AD4B40ADBF25007F7260C0245F09A4C4904B40
MTM-KTN,MTM,KTN,010200000002000000ADBF25007F7260C0245F09A4C4904B404C16F71FD97660C010A1004084AD4B40
ACC-DKR,ACC,DKR,010200000002000000FFFFFF5F3E59C5BF000000E0B66B1640000000C07D7D31C000000000BA7A2D40
ACC-LOS,ACC,LOS,010200000002000000FFFFFF5F3E59C5BF000000E0B66B164000000060BC910A40000000203A4F1A40
ACC-ROB,ACC,ROB,010200000002000000FFFFFF5F3E59C5BF000000E0B66B16407DAEB6627FB924C0018750A566EF1840
CKY-OXB,CKY,OXB,010200000002000000D34D621058392BC065C746205E272340000000C0B14E2FC00100004023CA2740
DKR-ACC,DKR,ACC,010200000002000000000000C07D7D31C000000000BA7A2D40FFFFFF5F3E59C5BF000000E0B66B1640
DKR-DLA,DKR,DLA,010200000002000000000000C07D7D31C000000000BA7A2D407EFBFF9F5F70234051EDFFDF39061040
DKR-FNA,DKR,FNA,010200000002000000000000C07D7D31C000000000BA7A2D406ABC749318642AC07AE40F069E3B2140
DKR-LOS,DKR,LOS,010200000002000000000000C07D7D31C000000000BA7A2D4000000060BC910A40000000203A4F1A40
DKR-OXB,DKR,OXB,010200000002000000000000C07D7D31C000000000BA7A2D40000000C0B14E2FC00100004023CA2740
DLA-DKR,DLA,DKR,0102000000020000007EFBFF9F5F70234051EDFFDF39061040000000C07D7D31C000000000BA7A2D40
DLA-LOS,DLA,LOS,0102000000020000007EFBFF9F5F70234051EDFFDF3906104000000060BC910A40000000203A4F1A40
FNA-DKR,FNA,DKR,0102000000020000006ABC749318642AC07AE40F069E3B2140000000C07D7D31C000000000BA7A2D40
FNA-LGW,FNA,LGW,0102000000020000006ABC749318642AC07AE40F069E3B21401AFB928D075BC8BF713C9F01F5924940
FNA-ROB,FNA,ROB,0102000000020000006ABC749318642AC07AE40F069E3B21407DAEB6627FB924C0018750A566EF1840
LGW-FNA,LGW,FNA,0102000000020000001AFB928D075BC8BF713C9F01F59249406ABC749318642AC07AE40F069E3B2140
LOS-ACC,LOS,ACC,01020000000200000000000060BC910A40000000203A4F1A40FFFFFF5F3E59C5BF000000E0B66B1640
LOS-DKR,LOS,DKR,01020000000200000000000060BC910A40000000203A4F1A40000000C07D7D31C000000000BA7A2D40
LOS-DLA,LOS,DLA,01020000000200000000000060BC910A40000000203A4F1A407EFBFF9F5F70234051EDFFDF39061040
LOS-ROB,LOS,ROB,01020000000200000000000060BC910A40000000203A4F1A407DAEB6627FB924C0018750A566EF1840
OXB-CKY,OXB,CKY,010200000002000000000000C0B14E2FC00100004023CA2740D34D621058392BC065C746205E272340
OXB-DKR,OXB,DKR,010200000002000000000000C0B14E2FC00100004023CA2740000000C07D7D31C000000000BA7A2D40
ROB-ACC,ROB,ACC,0102000000020000007DAEB6627FB924C0018750A566EF1840FFFFFF5F3E59C5BF000000E0B66B1640
ROB-FNA,ROB,FNA,0102000000020000007DAEB6627FB924C0018750A566EF18406ABC749318642AC07AE40F069E3B2140
ROB-LOS,ROB,LOS,0102000000020000007DAEB6627FB924C0018750A566EF184000000060BC910A40000000203A4F1A40
AKV-YIK,AKV,YIK,010200000002000000000000A0828953C0FFFFFFDFC7684E4000000020387B53C0010000206A354F40
AKV-YPX,AKV,YPX,010200000002000000000000A0828953C0FFFFFFDFC7684E40000000A05C5253C0000000007A064E40
